01_,Man,,,,
1,persona,1,1,Correcta,01_02_oct.pdf
2,persona,1,2,Casi Correcta,02_02_oct.pdf
3,Hombre,1,3,Dudosa,03_02_oct.pdf
4,persona,1,4,Incorrecta,04_02_oct.pdf
5,hombre,1,5,Significado Opuesto,05_02_oct.pdf
6,hombre,1,6,Sin Respuesta,06_02_oct.pdf
7,Persona,1,,,07_02_oct.pdf
8,Espere/vigía ,2,,,08_02_oct.pdf
9,persona,1,,,09_02_oct.pdf
10,Persona,1,,,10_02_oct.pdf
11,,6,,,11_02_oct.pdf
12,Persona,1,,,12_02_oct.pdf
13,persona,1,,,13_02_oct.pdf
14,humano,1,,,14_02_oct.pdf
15,persona,1,,,15_02_oct.pdf
16,Persona/hombre,1,,,16_02_oct.pdf
17,hombre,1,,,17_02_oct.pdf
18,persona,1,,,19_02_oct.pdf
19,Hombre,1,,,20_02_oct.pdf
20,Individuo,1,,,21_02_nov.pdf
21,persona,1,,,22_02_nov.pdf
22,Persona,1,,,23_02_nov.pdf
23,Detente,3,,,24_02_nov.pdf
24,persona,1,,,25_02_nov.pdf
25,,6,,,27_02_nov.pdf
26,Persona,1,,,28_02_nov.pdf
27,Persona,1,,,29_02_nov.pdf
28,person,1,,,30_02_eng_nov.pdf
29,Persona,1,,,31_02_nov.pdf
30,Deténgase,2,,,32_02_nov.pdf
31,…,6,,,33_02_nov.pdf
32,Persona,1,,,34_02_nov.pdf
33,Persona,1,,,35_02_nov.pdf
34,Una persona,1,,,36_02_nov.pdf
35,Persona,1,,,37_02_nov.pdf
36,Persona,1,,,38_02_nov.pdf
37,Persona,1,,,39_02_nov.pdf
38,Persona,1,,,40_02_nov.pdf
39,men,1,,,41_02_eng_nov.pdf
40,hombre,1,,,42_02_nov.pdf
41,"una persona, un hombre",1,,,43_02_nov.pdf
42,persona en espera,1,,,44_02_nov.pdf
43,Persona,1,,,45_02_nov.pdf
44,person,1,,,46_02_eng_nov.pdf
45,,6,,,47_02_nov.pdf
46,persona,1,,,48_02_nov.pdf
47,hombre,1,,,49_02_eng_nov.pdf
48,Persona,1,,,50_02_nov.pdf
49,Hombre,1,,,51_02_nov.pdf
50,hombre,1,,,52_02_nov.pdf
51,hombre,1,,,53_02_nov.pdf
52,Persona,1,,,54_02_nov.pdf
53,person,1,,,55_02_eng_dec.pdf
54,HOMBRE,1,,,56_02_dec.pdf
55,Persona,1,,,57_02_dec.pdf
56,Hombre,1,,,58_02_dec.pdf
57,"Persona, hombre",1,,,59_02_dec.pdf
58,person,1,,,60_02_eng_dec.pdf
59,persona,1,,,61_02_dec.pdf
60,Hombre,1,,,62_02_dec.pdf
61,persona,1,,,63_02_dec.pdf
62,Presencia de Personas,2,,,64_02_dec.pdf
63,Hombre,1,,,65_02_dec.pdf
64,persona,1,,,67_02_Jan.pdf
65,Single People,1,,,68_02_Eng_Jan.pdf
66,Zona segura,3,,,70_02_Feb.pdf
67,Hombre,1,,,71_02_Feb.pdf
68,hombre ,1,,,72_02_Feb.pdf
69,Persona,1,,,73_02_Feb.pdf
70,Persona - Yo,1,,,75_02_Mar.pdf
71,,6,,,76_02_Mar.pdf
72,hombre ,1,,,77_02_Mar.pdf
73,hombre,1,,,78_02_Mar.pdf
74,persona,1,,,79_02_Mar.pdf
75,persona ,1,,,80_02_Mar.pdf
76,Baño de hombres,1,,,81_02_Mar.pdf
77,Person,1,,,82_02_Eng_Mar.pdf
78,PERSONA,1,,,83_02_Mar.pdf
