29_,School,,,
1,ALBERGUE,2,1,Correcta
2,punto de encuentro,3,2,Casi Correcta
3,Organismo de gobierno,2,3,Dudosa
4,bandera izada,3,4,Incorrecta
5,lugar oficial de algo? tb pense bodega?,2,5,Significado Opuesto
6,bandera,3,6,Sin Respuesta
7,Cima,4,,
8,Punto de vigía,3,,
9,refugio,2,,
10,Bandera,4,,
11,casa,3,,
12,…,6,,
13,bandera sobre casa,3,,
14,institución,2,,
15,refugio,2,,
16,No lo sé,6,,
17,autoriad regional,3,,
18,"lugar, institución",2,,
19,?,6,,
20,Lugar oficial o de ejercito,3,,
21,"centro importante puede ser colegio, hospital etc",1,,
22,Colegio o institución,1,,
23,Zona de ,4,,
24,campamento,3,,
25,,6,,
26,cima,4,,
27,refugio,2,,
28,top point,4,,
29,reconstrucción,4,,
30,Distrito Militar,4,,
31,…,6,,
32,Escuela,1,,
33,Punto de reunión,3,,
34,Refugio,2,,
35,Campamento,2,,
36,Escuela,1,,
37,Meta,4,,
38,Escuela,1,,
39,factory,4,,
40,cumbre,4,,
41,lugar destacado,3,,
42,ubicación,3,,
43,Cuartel / Barraca,2,,
44,wind,4,,
45, fabricas?,4,,
46,lugar importante,2,,
47,escuela,1,,
48,Colegio,1,,
49,Albergue,1,,
50,bandera en casa,3,,
51,campamento base,3,,
52,Bandera - Senalizar lugar,3,,
53,?,6,,
54,"PRESENCIA, COLONIZACIÓN",4,,
55,Punto importante,2,,
56,Zona perteneciente a,3,,
57,"Bandera, centro de algo",2,,
58,a house with a flag,2,,
59,bandera,3,,
60,Bandera,3,,
61,escuela/centro,1,,
62,Edificación Oficial,2,,
63,Cumbre,4,,
64,punto de encuentro,2,,
65,Main Buiding,2,,
66,Refugio del gobierno,2,,
67,edificación estatal,2,,
68,Gubernamental,2,,
69, Bandera ,4,,
70,Capital - Patrimonio,4,,
71,,6,,
72,derrumbe,4,,
73,embajada,4,,
74,punto de encuentro,2,,
75,escuela ,1,,
76,Un colegio ,1,,
77,some sort of relevant building,2,,
78,BANDERA,4,,
79,empresa,4,,
80,,6,,
81,refugio ,2,,
82,Campamento ,2,,
83,Bandera ,4,,
84,zona segura,3,,
85,lugar seguro,2,,
86,zona militar,3,,
87,industria ,4,,
88,embajada,4,,
89,autoridad,2,,
90,embajada,3,,
91,paìs,3,,
92,,6,,
93,,6,,
94,CENTRO DE AYUDA,2,,
95,Fabrica,4,,
96,punto estrategico,2,,
97,campamento base,2,,
98,una casa en construcción,4,,
99,,6,,
100,nacional,4,,
101,Zona de ayuda,3,,
102,refugio,2,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
