48_,Alluvium,,,
1,derrumbe,1,1,Correcta
2,derrumbe,1,2,Casi Correcta
3,Derrumbe,1,3,Dudosa
4,avalancha/derrumbe,1,4,Incorrecta
5,avalancha,1,5,Significado Opuesto
6,,6,6,Sin Respuesta
7,derrumbe,1,,
8,Derrumbe,1,,
9,deslizamiento de rocas,2,,
10,derrumbe,1,,
11,Derrumbe,1,,
12,Peligro Derrumbes,1,,
13,zona de derrumbes,1,,
14,avalancha,1,,
15,deslizamiento,1,,
16,caída de rocas,2,,
17,landslide,1,,
18,zona de desprendimientos,1,,
19,Barranco,3,,
20,derrumbe,1,,
21,Derrumbe,1,,
22,Derrumbe,1,,
23,landslide,1,,
24,derrumbes,1,,
25,"deslizamiento, desprendimiento de piedras",1,,
26,ceniza volcánica,4,,
27, Derrumbe,1,,
28,derrumbe ,1,,
29,derrumbe,1,,
30,riesgo de deslizamientos,1,,
31,desprendimiento de rocas,2,,
32,Derrumbre,1,,
33,DERRUBMBE,1,,
34,riesgo de deslizamiento,1,,
35,Desprendimiento piedras,1,,
36,landslide,1,,
37,DESPRENDIMIENTO,2,,
38,Derrumbe,1,,
39,Derrumbe / deslizamiento,1,,
40,Derrumbe,1,,
41,something falling off a hill,2,,
42,derrumbe,1,,
43,Derrumbe,1,,
44,derrumbe,1,,
45,Amenaza de Derrumbes,1,,
46,Derrumbamiento,1,,
47,riesgo de deslizamiento,1,,
48,Rolling Stones,2,,
49,Avalanche,2,,
50, Alerta derrumbe,1,,
51,deslizamiento tierra-rocas,1,,
52,Derrumbe,1,,
53, Derrumbe ,1,,
54,Zona de avalancha,2,,
55,Peligro - Derrumbe,1,,
56,DERRUMBRES,1,,
57,derrumbe,1,,
58,derrumbe,1,,
59,derrumbe,1,,
60,derrumbe,1,,
61,Avalancha ,2,,
62,"landslide, avalanche",1,,
63,DERRUMBE,1,,
64,derrumbe,1,,
65,volcán con cenizas,4,,
66,Derrumbe,1,,
67,Zona con deslizamiento de tierra,1,,
68,habalancha,1,,
69,desplazamientos ,2,,
70,derrumbe,1,,
71,deslizamiento ,1,,
72,derrumbe,1,,
73,Deslizamientos,1,,
74,caída de rocas,2,,
75,ZONA DE DESPRENDIMIENTOS,1,,
76,deslizamiento de tierra,1,,
77,DESLISAMIENTO,1,,
78,Deslisamiento,1,,
79,derrumbe de tierra,1,,
80,alud de tierra,1,,
81,zona de deslizamiento ,1,,
82,DESLIZAMIENTO,1,,
83,peligro de deslizamiento ,1,,
84,Zona de Derrumbe,1,,
85,deslizamiento de tierra,1,,
86,ash fall,4,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
