56_,Messaging_twoways,,,
1,conversación,1,1,Correcta
2,conversacion,1,2,Casi Correcta
3,Mensajería,2,3,Dudosa
4,conversar,1,4,Incorrecta
5,mensajes,2,5,Significado Opuesto
6,,6,6,Sin Respuesta
7,"conversación, información",1,,
8,Conversación,1,,
9,Conversación,1,,
10,mensajeria de texto,2,,
11,Mensajes,2,,
12,Zona de Info,3,,
13,zona de hablar,2,,
14,mensajes,2,,
15,diálogo,1,,
16,comunicación,2,,
17,dialogue,1,,
18,mensajeria de texto,2,,
19,diálogo,1,,
20,chat,1,,
21,Mensajes,2,,
22,Conversar/Comunicar,1,,
23,dialog/discussion,1,,
24,comentarios,2,,
25,conversación,1,,
26,"mensajes, comunicaciones",2,,
27, Conversación,1,,
28," mensajes, conversacion, ayuda",1,,
29,conversación por chat,1,,
30,chat,1,,
31,mensajería ,2,,
32,Mensaje de texto,2,,
33,MENSAJE DE TEXTO,2,,
34,mensaje de texto,2,,
35,Mensajes de texto,2,,
36,messages,2,,
37,DIALOGO,1,,
38,Charla,1,,
39,Textear / mensajear,2,,
40,"chat, mensajes",1,,
41,message/conversation,1,,
42,charla,1,,
43,Diálogo,1,,
44,chat/mensajes,1,,
45,Cuadros de Información,3,,
46,Conversación,1,,
47,conversación,1,,
48,Chat,1,,
49,Information,3,,
50,textear,2,,
51,comunicación,1,,
52,Mensajes - Comunicación,1,,
53,Mensajes de Texto,2,,
54,chat,1,,
55,Mensaje,2,,
56,RECEPCION DE MENSAJES,2,,
57,comunicarse por mensaje de texto,1,,
58,mensajería ,2,,
59,chat,1,,
60,mensajes ,2,,
61,Mensajes ,2,,
62,"messages, messaging",2,,
63,COMUNICACIÓN,1,,
64,mensaje,2,,
65,chatear,1,,
66,Conversacion ,1,,
67,Intercambio de mensajes,1,,
68,mensaje de texto,2,,
69,Comunicación ,1,,
70,chat,1,,
71,mensajes ,2,,
72,mensajes,2,,
73,,6,,
74,mensajes,2,,
75,MENSAJERIA,2,,
76,,6,,
77,MENSAJES,2,,
78,Mensajeria,2,,
79,mensajes,2,,
80,mensajeria,2,,
81,un mensaje recibido,3,,
82,MENSAJERIA,2,,
83,mensajes,2,,
84,Mensajeria,2,,
85,mensajería o comunicación,1,,
86,chat,1,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
