58_,North_sign,,,
1,norte,1,1,Correcta
2,norte,1,2,Casi Correcta
3,Norte,1,3,Dudosa
4,norte,1,4,Incorrecta
5,norte,1,5,Significado Opuesto
6,,6,6,Sin Respuesta
7,norte,1,,
8,Norte,1,,
9,Dirección Norte,1,,
10,norte,1,,
11,Norte,1,,
12,Siga al Norte,1,,
13,norte,1,,
14,,6,,
15,norte,1,,
16,norte,1,,
17,north,1,,
18,Norte,1,,
19,,6,,
20,norte,1,,
21,Norte,1,,
22,No subir,4,,
23,north up,1,,
24,norte,1,,
25,norte,1,,
26,no sé...,6,,
27,Norte geográfico ,1,,
28, Norte,1,,
29,norte,1,,
30,norte,1,,
31,norte,1,,
32,Norte,1,,
33,norte,1,,
34,norte,1,,
35,Hacia el norte,1,,
36,north,1,,
37,NORTE,1,,
38,Norte,1,,
39,Norte,1,,
40,hacia el norte,1,,
41,north,1,,
42,norte arriba,1,,
43,Norte,1,,
44,norte,1,,
45,Dirección Norte,1,,
46,Norte,1,,
47,norte,1,,
48,North that way,1,,
49,North,1,,
50,ir hacia el norte,1,,
51,norte,1,,
52,Norte,1,,
53, Norte,1,,
54,norte,1,,
55,Brújula,2,,
56,,6,,
57,hacia el norte,1,,
58,norte,1,,
59,Norte,1,,
60,norte ,1,,
61,Siga hacia la derecha de forma vertical ,4,,
62,north direction,1,,
63,NORTE,1,,
64,neutro hacia delante,4,,
65,,6,,
66,Norte,1,,
67,No entiendo,4,,
68,nada,4,,
69,norte,1,,
70,,6,,
71,norte,1,,
72,norte,1,,
73,,6,,
74,norte,1,,
75,NORTE,1,,
76,,6,,
77,NORTE,1,,
78,Norte,1,,
79,norte,1,,
80,norte,1,,
81,,6,,
82,NORTE,1,,
83,norte,1,,
84,Norte,1,,
85,Norte,1,,
86,?,6,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
