06_,Assembly_family,,,
1,FAMILIA,1,1,Correcta
2,familia,1,2,Casi Correcta
3,familia,1,3,Dudosa
4,familia,1,4,Incorrecta
5,familia,1,5,Significado Opuesto
6,familia,1,6,Sin Respuesta
7,Familia,1,,
8,Lugar familiar,1,,
9,familia,1,,
10,Familia,1,,
11,familia,1,,
12,Familia,1,,
13,familia,1,,
14,familia,1,,
15,familia,1,,
16,Familia,1,,
17,familia,1,,
18,"grupo, familia",1,,
19,familia,1,,
20,Familia junta,1,,
21,familia,1,,
22,Familia,1,,
23,Punto de reunión,1,,
24,familia,1,,
25,familia heterosexual,1,,
26,grupo de personas,1,,
27,Familia,1,,
28,family,1,,
29,Familia reunida,1,,
30,Familia,1,,
31,Familia,1,,
32,Familia,1,,
33,Familia,1,,
34,En conjunto,1,,
35,Familia,1,,
36,Grupo familiar,1,,
37,Familia,1,,
38,Familia,1,,
39,family,1,,
40,familia,1,,
41,familia,1,,
42,familia,1,,
43,Familia,1,,
44,family,1,,
45, reunion,1,,
46,familia,1,,
47,familia,1,,
48,Familia,1,,
49,Reunión,1,,
50,familia,1,,
51,familia,1,,
52,Encuentro - Reunión,1,,
53,family stay together,1,,
54,FAMILIA,1,,
55,Familia,1,,
56,Reunion / familia,1,,
57,Familia,1,,
58,family,1,,
59,familia,1,,
60,Familia,1,,
61,familia,1,,
62,Unión / Protección de Personas,1,,
63,Famiñia,1,,
64,familia,1,,
65,Family,1,,
66,Pinto de encuentro,2,,
67,Familia,1,,
68,familia ,1,,
69, Familia,1,,
70,Familia - Encuentro,1,,
71,ENCUENTRO,1,,
72,refugiarse,2,,
73,familia,1,,
74,familia ,1,,
75,familia ,1,,
76,Reunión familiar ,1,,
77,Group,2,,
78,FAMILIA,1,,
79,,6,,
80,familia,1,,
81,punto de reunion,2,,
82,Familia,1,,
83,Familia,1,,
84,zona familiar,1,,
85,sector familiar ,2,,
86,reunion,1,,
87,familia,1,,
88,familia,1,,
89,,6,,
90,familia,1,,
91,familia,1,,
92,,6,,
93,,6,,
94,REUNION,2,,
95,Familia,1,,
96,punto de reunion,1,,
97,familia,1,,
98,un icono caracterizando un punto de encuentro,3,,
99,REUNION,1,,
100,familia,1,,
101,Familia,1,,
102,familia reunida,1,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
