09_,Authority_instruction,,,
1,DIRECCIÓN OBLIGADA,3,1,Correcta
2,diríjase a la derecha,3,2,Casi Correcta
3,Dirigiendo el tráfico,2,3,Dudosa
4,policía - seguir instrucciones de la policía,1,4,Incorrecta
5,carabinero,3,5,Significado Opuesto
6,policía,2,6,Sin Respuesta
7,Policía,2,,
8,Dirección de tránsito,3,,
9,Dirección policial,3,,
10,Carabineros,2,,
11,carabinero dirigiendo el transito,1,,
12,Carabinero,2,,
13,carabinero,2,,
14,carabinero,2,,
15,carabinero,2,,
16,Policía,2,,
17,Pacos,2,,
18,paco,2,,
19,Policía,2,,
20,Autoridad o carabinero dirigiendo,1,,
21,dirección de transito,3,,
22,Policía,2,,
23,Gire a la derecha,3,,
24,policia,2,,
25,policia,2,,
26,siga por allá,1,,
27,Policia,2,,
28,policeman,2,,
29,Carabinero señalando la derecha,1,,
30,Siga instrucciones,1,,
31,Policía,2,,
32,Carabinero,2,,
33,Autoridad,1,,
34,Policía,2,,
35,Paco / policía,2,,
36,Policía dirigiendo el tránsito,1,,
37,Policía,2,,
38,Policía,2,,
39,policeman,2,,
40,policía,2,,
41,"policía, carabinero",2,,
42,señal de evacuación,1,,
43,Autoridad / Guía,1,,
44,police,2,,
45,siga instrucciones del guardia o  camine hacia la derecha,1,,
46,carabinero dirigiendo,1,,
47,policia,2,,
48,Policía,2,,
49,Policia,2,,
50,oficial de policia,2,,
51,policía/información policial,2,,
52,Policia,2,,
53,emergency officer will show way,1,,
54,CARABINERO DIRIGIENDO,1,,
55,Policia,2,,
56,Oficial / policia,2,,
57,Policía,2,,
58,police,2,,
59,policía de trancito,2,,
60,Policía,2,,
61,carabinero,2,,
62,Seguir Instrucciones de Efectivos,1,,
63,Policia,2,,
64,siga las indicaciones,1,,
65,Police Officer,2,,
66,Seguir indicaciones de Autoridades,1,,
67,Policia oficial,2,,
68,Autoridad / Policía,2,,
69,Policía ,2,,
70,Agente de Tránsito,2,,
71,POLICIA EN LA VIA,2,,
72,policia,2,,
73,policia,2,,
74,policia indicador,1,,
75,policia,2,,
76,Detengase,2,,
77,"policeman, or some other officer",2,,
78,CARABINERO DIRIGIENDO,1,,
79,paco,2,,
80,policia,2,,
81,seguridad,2,,
82,Policia,2,,
83,Siga las instrucciones del personal,1,,
84,policia,2,,
85,seguridad ,2,,
86,oficial,2,,
87,carabinero ,2,,
88,policia ,2,,
89,,6,,
90,policía dirigiendo,1,,
91,policia,2,,
92,,6,,
93,,6,,
94,POLICIA,2,,
95,Policia,2,,
96,personal de seguridad,2,,
97,policia,2,,
98,un carabinero ,2,,
99,AUTORIDAD,1,,
100,carabinero al mando,2,,
101,Orden Policial,1,,
102,policía,1,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
